BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
202664	353284	85	202664				0.321374196911769	1.43680566736435	0.539533433305444
199806	701060	204	199806				0.00171042594913133	2.34790697674419	0.0213572104999642
614531	533559	102	614531				0.706046265240879	0.996336996336996	0.845060555806441
349887	685244	204	349887				0.0276302008345104	1.1981981981982	0.108179260894439
241271	615712	176	241271				0.997293715624733	0.954545454545455	0.997293715624733
236890	628019	217	236890				0.00196438678427002	0.620947630922693	0.0224468932262092
227675	630481	292	227675				0.0977065435446319	0.81021897810219	0.262444320451279
216860	600185	292	216860				0.649764109985453	1.00325732899023	0.811823405142721
227352	927021	132	227352				0.415917476393577	0.896648044692737	0.614135042565727
303839	916380	204	303839				0.234149009847229	1.24772313296903	0.459093950763629
356987	630673	102	356987				0.046337988386057	1.29183673469388	0.160963538604198
227017	801098	98	227017				0.720770637821935	1.14345991561181	0.856030937464612
238321	937421	361	238321				0.666380190904126	1.02884615384615	0.823175529940391
367980	911810	375	367980				0.280604306133962	0.860655737704918	0.504748873293202
208201	422868	85	208201				0.844197298716717	1.0822695035461	0.930988723536275
241572	1082682	299	241572				0.285027956097677	0.965397923875433	0.508428246012072
330991	1240953	208	330991				0.577230186832456	0.951977401129944	0.761943846618842
300148	559473	99	300148				0.0559817887099955	0.870967741935484	0.175942764517129
241065	837646	116	241065				0.9803138449469	0.892405063291139	0.986721124979233
234567	775045	235	234567				0.000723577692017532	1.4963503649635	0.0145344736396565
362056	841774	129	362056				0.0121885115631115	0.61782999308915	0.0617885669953744
223629	792540	255	223629				0.318826440733199	1.39823008849558	0.539385197971696
223597	1204498	297	223597				0.400119985088522	1.01818181818182	0.6008657028536
307909	698816	218	307909				0.234515524632503	1.08219178082192	0.459093950763629
289049	744413	352	289049				0.395480848828964	0.956686689851407	0.599056236586824
222049	701919	117	222049				0.229287729220064	0.966841186736475	0.456598840084783
240432	1100168	295	240432				0.206120534869487	0.925742574257426	0.427766376440259
213974	991296	169	213974				0.00179217379434975	0.625641025641026	0.0217890603418312
200961	937853	204	200961				0.673629153220542	0.872727272727273	0.827703906350772
268050	818135	174	268050				0.895439611838271	0.70561797752809	0.948754602230139
309730	525387	149	309730				0.362284028774854	1.24690812720848	0.573202812650625
362021	718276	174	362021				0.21734540100825	0.781045751633987	0.440410417832507
206556	424318	85	206556				0.59459120142155	1.14714285714286	0.778190184296759
222099	590692	197	222099				0.34197094011855	0.917197452229299	0.552414595576119
269269	692363	204	269269				0.81337113177699	1.00729927007299	0.922182766449939
211919	401728	194	211919				0.557004272345138	1.15196078431373	0.741602230038772
498712	297024	113	498712				0.0726842373394219	0.935420743639922	0.215257164428288
605658	291772	187	605658				0.915195420852946	1.05666666666667	0.956606978357604
650627	530871	188	650627				0.000278533478733767	0.5	0.00919160479821431
301584	247575	184	301584				0.728596117479368	0.945518453427065	0.863106169937098
362008	528050	217	362008				0.701054140028087	0.826291079812207	0.841264968033704
293848	895697	290	293848				0.00268521266107864	0.753541076487252	0.0238570817195833
291025	588283	174	291025				0.119721543757494	0.877611940298507	0.299039217583304
293007	536494	200	293007				0.630756946120394	1.30057803468208	0.79825141153467
200471	568970	97	200471				0.154849214796163	1.01652892561983	0.350732168024042
379432	504508	85	379432				0.621878390240292	1.09447852760736	0.79825141153467
232869	631360	245	232869				0.926239365585418	0.998287671232877	0.965965207450255
272365	240766	244	272365				0.0382983569263163	0.935483870967742	0.140427308729826
270999	412676	191	270999				0.240053811294097	0.988610478359909	0.462103586741137
269146	237538	110	269146				0.990265852560534	1.02121433796635	0.99241393467021
438099	478631	159	438099				0.421890044530603	1.01597444089457	0.614135042565727
228587	601084	218	228587				0.0892008521362364	1.10043668122271	0.246771219682283
218839	577533	186	218839				0.0143730603268267	0.630434782608696	0.0686992381215882
288019	911896	259	288019				0.0544658297545198	0.730569948186529	0.172492527264991
308912	795917	174	308912				0.0022032371036019	1.80769230769231	0.0226199009303128
616706	949564	174	616706				0.0541018513508312	1.59074733096085	0.172492527264991
267765	1000928	174	267765				0.273779235238928	1.07246376811594	0.500407572787944
452091	781399	101	452091				0.66472504737637	0.973684210526316	0.823175529940391
640528	585690	217	640528				0.00105836624347943	0.679324894514768	0.0174601881892188
362112	379612	159	362112				0.765905625782654	1.01386481802426	0.891305791213063
267824	751322	174	267824				5.04833313350186e-05	1.52450980392157	0.00382295004629142
357054	302713	307	357054				0.0213317289761198	0.8	0.0893327437736738
362113	718240	174	362113				0.216827744891432	0.764705882352941	0.440410417832507
232017	571888	197	232017				0.354207294442763	1.16157205240175	0.562755132219725
480136	933911	204	480136				0.525200042012654	0.972696245733788	0.713654174734842
208664	505151	140	208664				0.0850756181198754	0.936936936936937	0.239524634855403
629270	844751	85	629270				0.799432344629024	0.989778534923339	0.914202334699527
616647	627752	120	616647				0.69719091258601	4.81836327345309	0.840239938520005
200411	595016	116	200411				0.466919397732806	0.921277385815076	0.659684286705065
312592	844853	331	312592				0.938814966550502	1.07920792079208	0.971358842821945
225283	530734	262	225283				0.0545106254993262	1.02803738317757	0.172492527264991
222093	573506	155	222093				0.151287301744705	1.19884726224784	0.348415605884466
